model_tag,method,tier,metric,mean,ci_low,ci_high,n
qwen25_7b,decomposed,all,POR_C,0.6487873134328358,0.6282649253731343,0.6693097014925373,2144
qwen25_7b,decomposed,all,POR_NC,0.9982608695652174,0.9947826086956522,1.0,575
qwen25_7b,decomposed,all,HHR,0.9348659003831418,0.9169859514687101,0.9514687100893997,783
qwen25_7b,decomposed,all,RSR,0.06513409961685823,0.04853128991060025,0.08301404853128991,783
qwen25_7b,decomposed,all,PSR,,,,0
qwen25_7b,decomposed,tier1,OSR,0.6869444444444445,0.6719444444444445,0.7022222222222222,3600
qwen25_7b,decomposed,tier1,POR_C,0.6675447839831401,0.6464699683877766,0.6886195995785037,1898
qwen25_7b,decomposed,tier1,POR_NC,0.9982608695652174,0.9947826086956522,1.0,575
qwen25_7b,decomposed,tier1,HHR,0.925,0.9044117647058824,0.9441176470588235,680
qwen25_7b,decomposed,tier1,RSR,0.075,0.05588235294117647,0.09558823529411764,680
qwen25_7b,decomposed,tier1,PSR,,,,0
qwen25_7b,decomposed,tier2_llmbar,OSR,0.615,0.5675,0.6625,400
qwen25_7b,decomposed,tier2_llmbar,POR_C,0.5040650406504065,0.43902439024390244,0.5650406504065041,246
qwen25_7b,decomposed,tier2_llmbar,POR_NC,,,,0
qwen25_7b,decomposed,tier2_llmbar,HHR,1.0,1.0,1.0,103
qwen25_7b,decomposed,tier2_llmbar,RSR,0.0,0.0,0.0,103
qwen25_7b,decomposed,tier2_llmbar,PSR,,,,0
qwen25_7b,direct,all,OSR,0.758375,0.748875,0.76775,8000
qwen25_7b,direct,all,POR_C,0.6402538902538902,0.6269400081900082,0.6535626535626535,4884
qwen25_7b,direct,all,POR_NC,1.0,1.0,1.0,1183
qwen25_7b,direct,all,HHR,0.9691011235955056,0.9606741573033708,0.9769662921348314,1780
qwen25_7b,direct,all,RSR,0.03089887640449438,0.023033707865168538,0.03932584269662921,1780
qwen25_7b,direct,all,PSR,0.9993074792243767,0.9982686980609419,1.0,2888
qwen25_7b,direct,tier1,OSR,0.7634722222222222,0.7534722222222222,0.7730590277777778,7200
qwen25_7b,direct,tier1,POR_C,0.6571627260083449,0.6430227167362077,0.6710709318497914,4314
qwen25_7b,direct,tier1,POR_NC,1.0,1.0,1.0,1183
qwen25_7b,direct,tier1,HHR,0.9646596858638743,0.9548429319371727,0.9738219895287958,1528
qwen25_7b,direct,tier1,RSR,0.03534031413612566,0.02617801047120419,0.045157068062827224,1528
qwen25_7b,direct,tier1,PSR,0.9996204933586338,0.9988614800759014,1.0,2635
qwen25_7b,direct,tier2_llmbar,OSR,0.7125,0.68125,0.74375,800
qwen25_7b,direct,tier2_llmbar,POR_C,0.512280701754386,0.47017543859649125,0.5543859649122806,570
qwen25_7b,direct,tier2_llmbar,POR_NC,,,,0
qwen25_7b,direct,tier2_llmbar,HHR,0.996031746031746,0.9880952380952381,1.0,252
qwen25_7b,direct,tier2_llmbar,RSR,0.003968253968253968,0.0,0.011904761904761904,252
qwen25_7b,direct,tier2_llmbar,PSR,0.9960474308300395,0.9881422924901185,1.0,253
qwen25_7b,locked,all,OSR,0.774625,0.76525,0.783625,8000
qwen25_7b,locked,all,POR_C,0.6580259222333001,0.6448654037886341,0.67098703888335,5015
qwen25_7b,locked,all,POR_NC,1.0,1.0,1.0,1182
qwen25_7b,locked,all,HHR,0.8841495523959979,0.8694049499736703,0.8983675618746709,1899
qwen25_7b,locked,all,RSR,0.11585044760400211,0.10163243812532911,0.13059505002632965,1899
qwen25_7b,locked,all,PSR,0.9923849082727587,0.9889235029421946,0.9955001730702665,2889
qwen25_7b,locked,tier1,OSR,0.7841666666666667,0.7747222222222222,0.7936111111111112,7200
qwen25_7b,locked,tier1,POR_C,0.6760752688172043,0.662410394265233,0.6899641577060932,4464
qwen25_7b,locked,tier1,POR_NC,1.0,1.0,1.0,1182
qwen25_7b,locked,tier1,HHR,0.8695129284425737,0.8532772098616958,0.8851473241130488,1663
qwen25_7b,locked,tier1,RSR,0.13048707155742634,0.11485267588695129,0.14672279013830428,1663
qwen25_7b,locked,tier1,PSR,0.9920664903664526,0.988666414809218,0.9950887797506611,2647
qwen25_7b,locked,tier2_llmbar,OSR,0.68875,0.65625,0.72,800
qwen25_7b,locked,tier2_llmbar,POR_C,0.5117967332123412,0.47005444646098005,0.5517241379310345,551
qwen25_7b,locked,tier2_llmbar,POR_NC,,,,0
qwen25_7b,locked,tier2_llmbar,HHR,0.9872881355932204,0.9703389830508474,1.0,236
qwen25_7b,locked,tier2_llmbar,RSR,0.012711864406779662,0.0,0.029661016949152543,236
qwen25_7b,locked,tier2_llmbar,PSR,0.9958677685950413,0.987603305785124,1.0,242
